Utterance,Intent
Do you sell new cars,Inventory Information
Do you sell used cars,Inventory Information
Do you sell Chevrolet,Auto Information
Do you sell Ford,Auto Information
Do you sell Toyota,Auto Information
I would like a car that gets good gas mileage,Auto Information
Why can't I talk to a real person,Customer Service Complaint
Do I have to give a deposit,Financial Information
Do I need good credit,Financial Information
The car that you tried to sell me was a lemon,Customer Service Complaint
You undervalued my trade,Financial Complaint
The car you tried to sell me was $2000 over book value,Financial Complaint
You charged me more than the original estimate,Financial Complaint
It took you too long to complete the repair,Service Complaint
I waited an hour before someone spoke with me,Customer Service Complaint
The repair wasn't done correctly,Service Complaint
How do I report an employee to the manager,Customer Service Complaint
My car had interior stains after it was repaired,Service Complaint
I was told that my car needed repairs that it didnt really need,Service Complaint
My car was damaged while getting repairs,Service Complaint
Your website is complicated,Customer Service Complaint
Do you sell trucks,Inventory Information
Do you sell SUV's,Inventory Information
Do you accept trade-ins,Dealer Information
How often do you get in now inventory,Inventory Information
What are your store hours,Dealer Information
Do you have different hours on holidays,Dealer Information
Do you finance vehicles,Financial Information
What is your interest rate for new cars,Financial Information
What is your interest rate for used cars,Financial Information
Do you have a service department,Dealer Information
Do you have a parts department,Dealer Information
Do you offer free oil changes,Dealer Information
Do you offer any incentives on new cars,Dealer Information
Do you offer any incentives on used cars,Dealer Information
Your cars are over priced,Financial Complaint
Your customer service is bad,Customer Service Complaint
Do you offer extended warranties,Dealer Information
Do you offer upgrades on new vehicles,Dealer Information
Can I order a new vehicle from the manufacturer,Dealer Information
How long till the car will be ready for pick-up,Auto Information
I have been waiting too long for a response,Customer Service Complaint
What is your phone number,Dealer Information
what is your address,Dealer Information
Can I schedule an appointment,Dealer Information
Can I schedule a service for my vehicle,Dealer Information
What brands do you sell for new cars,Inventory Information
Who can I contact with a complaint,Customer Service Complaint
Do you offer test drives,Dealer Information
I will never do business with this dealership again,Customer Service Complaint
Do you offer insurance,Dealer Information
How big is your inventory,Inventory Information
Are you a robot,General Information
Are you a human,General Information
How are you,General Information
Help,General Information
Hey,General Information
Bye,General Information
Thank you,General Information
How do I get to your dealership,Dealer Information
This is a waste of my time,General Information
Please let me talk to a real person,General Information
I want you to answer me,General Information
I need help selling my car,Auto Information
Can you please help me buy a new car,Auto Information
Can you please help me buy a used car,Auto Information
When will my parts be ready,Parts Information
I ordered some parts and I now I need to change the order,Parts Information
The parts that I ordered were not in the box,Parts Complaint
The parts that I received were the wrong ones,Parts Complaint
The parts that I received did not fit,Parts Complaint
Can I reorder the same parts,Parts Information
I need help changing an order that I made,Parts Information
Which languages do you speak,General Information
Do you speak spanish,General Information
Do you speak french,General Information
Do you speak German,General Information
What day is it today,General Information
Do you save what I say,General Information
What is your name,General Information
How many people can you speak to at once,General Information
Do you sell any electric cars,Dealer Information
Are electric cars safe,Auto Information
Do you sell hybrid cars,Dealer Information
Are hybrid cars better than regular cars,Auto Information
Are electric cars better than regular cars,Auto Information
Do you have electric cars in your inventory,Inventory Information
Do you have hybrid cars in your inventory,Inventory Information
What kind of mileage do electric cars get,Auto Information
What kind of mileage do hybrid cars get,Auto Information
Will electric cars explode,Auto Information
How long does it take to charge and electric car,Auto Information
Do electric cars have more power than gas cars,Auto Information
Do gas cars last longer than electric cars,Auto Information
Do gas cars last longer than hybrid cars,Auto Information
Do you have any sports cars in stock,Inventory Information
Do you have any classic cars in stock,Inventory Information
Will you buy my car even if I dont buy one of your cars,Dealer Information
Do you offer test drives,Dealer Information
Do you offer military discounts,Financial Information
