Utterance,Pos/Neg,Pos/Neg/Neutral
Do you sell new cars?,Positive,Neutral
Do you have new cars?,Positive,Neutral
Do you sell new?,Positive,Neutral
Do you sell used cars?,Positive,Neutral
Do you have used cars?,Positive,Neutral
Do you sell used?,Positive,Neutral
Why cant I talk to a real person?,Negative,Negative
yes,Positive,Neutral
yeah,Positive,Neutral
no,Negative,Negative
nope,Negative,Negative
nah,Negative,Negative
maybe,Positive,Neutral
Do you have red cars?,Positive,Neutral
Do you have blue cars?,Positive,Neutral
Do you have black cars?,Positive,Neutral
Do you have brown cars?,Positive,Neutral
Do you have silver cars?,Positive,Neutral
Do you have white cars?,Positive,Neutral
Do you have green cars?,Positive,Neutral
Your website is complicated,Negative,Negative
Do you sell trucks?,Positive,Neutral
Do you sell SUV's,Positive,Neutral
Do you accept trade-ins?,Positive,Neutral
Do you accept trades?,Positive,Neutral
What are your store hours?,Positive,Neutral
Do you have different hours on holidays?,Positive,Neutral
Do you finance vehicles?,Positive,Neutral
What is your interest rate for new cars?,Positive,Neutral
What is your interest rate for used cars?,Positive,Neutral
Do you have a service department?,Positive,Neutral
Do you have a parts department?,Positive,Neutral
Do you offer free oil changes?,Positive,Neutral
Do you offer any incentives on new cars?,Positive,Neutral
Do you offer any incentives on used cars?,Positive,Neutral
Your cars are over priced.,Negative,Negative
Your customer service is bad.,Negative,Negative
Do you offer extended warranties?,Positive,Neutral
Do you offer upgrades on new vehicles?,Positive,Neutral
Can I order a new vehicle from the manufacturer?,Positive,Neutral
How long till the car will be ready for pick-up,Positive,Neutral
I have been waiting too long for a response.,Negative,Negative
What is your phone number?,Positive,Neutral
what is your address?,Positive,Neutral
Can I schedule an appointment?,Positive,Neutral
Can I schedule a service for my vehicle?,Positive,Neutral
What brands do you sell for new cars?,Positive,Neutral
Who can I contact with a complaint?,Negative,Negative
Do you offer test drives?,Positive,Neutral
