Utterance,Pos/Neg,Pos/Neg/Neutral
Do you sell new cars?,Positive,Neutral
Do you sell used cars?,Positive,Neutral
Do you sell Chevrolet?,Positive,Neutral
Do you sell Ford?,Positive,Neutral
Do you sell Toyota?,Positive,Neutral
I would like a car that gets good gas mileage.,Positive,Neutral
Why can't I talk to a real person?,Negative,Negative
Do I have to give a deposit?,Positive,Neutral
Do I need good credit?,Positive,Neutral
The car that you tried to sell me was a lemon.,Negative,Negative
You undervalued my trade.,Negative,Negative
The car you tried to sell me was $2000 over book value,Negative,Negative
You charged me more than the original estimate.,Negative,Negative
It took you too long to complete the repair.,Negative,Negative
I waited an hour before someone spoke with me.,Negative,Negative
The repair wasn't done correctly.,Negative,Negative
How do I report an employee to the manager?,Negative,Negative
My car had interior stains after it was repaired.,Negative,Negative
I was told that my car needed repairs that it didnt really need.,Negative,Negative
My car was damaged while getting repairs.,Negative,Negative
Your website is complicated,Negative,Negative
Do you sell trucks?,Positive,Neutral
Do you sell SUV's,Positive,Neutral
Do you accept trade-ins?,Positive,Neutral
How often do you get in now inventory?,Positive,Neutral
What are your store hours?,Positive,Neutral
Do you have different hours on holidays?,Positive,Neutral
Do you finance vehicles?,Positive,Neutral
What is your interest rate for new cars?,Positive,Neutral
What is your interest rate for used cars?,Positive,Neutral
Do you have a service department?,Positive,Neutral
Do you have a parts department?,Positive,Neutral
Do you offer free oil changes?,Positive,Neutral
Do you offer any incentives on new cars?,Positive,Neutral
Do you offer any incentives on used cars?,Positive,Neutral
Your cars are over priced.,Negative,Negative
Your customer service is bad.,Negative,Negative
Do you offer extended warranties?,Positive,Neutral
Do you offer upgrades on new vehicles?,Positive,Neutral
Can I order a new vehicle from the manufacturer?,Positive,Neutral
How long till the car will be ready for pick-up,Positive,Neutral
I have been waiting too long for a response.,Negative,Negative
What is your phone number?,Positive,Neutral
what is your address?,Positive,Neutral
Can I schedule an appointment?,Positive,Neutral
Can I schedule a service for my vehicle?,Positive,Neutral
What brands do you sell for new cars?,Positive,Neutral
Who can I contact with a complaint?,Negative,Negative
Do you offer test drives?,Positive,Neutral
I will never do business with this dealership again.,Negative,Negative
